cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.8552629851569222,124.14219416875524,236931.9337121475,NA,18.044982194900513,SCE3,eCDF-Copula
GBMT,3,0.6427174913816494,75.4276399420511,228942.60699174038,NA,93.31913423538208,SCE3,eCDF-Copula
GBMT,4,0.47561894095019375,52.508427478145144,225313.72414687937,NA,116.740487575531,SCE3,eCDF-Copula
GBMT,5,0.46257343260102834,42.92077754442367,222692.23332977534,NA,101.27364492416382,SCE3,eCDF-Copula
KML3D,2,0.15455877395390158,75.67202581131231,NA,NA,0.4070415496826172,SCE3,eCDF-Copula
KML3D,3,0.2671117589357226,80.69633004912501,NA,NA,0.5326166152954102,SCE3,eCDF-Copula
KML3D,4,0.30792426803275463,73.29777557456208,NA,NA,0.6086745262145996,SCE3,eCDF-Copula
KML3D,5,0.15611381073372968,54.68066694803553,NA,NA,0.764622688293457,SCE3,eCDF-Copula
flexmix,2,0.6390969282535548,127.42695089195756,244386.6486233387,NA,0.5219287872314453,SCE3,eCDF-Copula
flexmix,3,0.4067705919729406,102.15232230808355,235934.25770657163,NA,1.185070276260376,SCE3,eCDF-Copula
flexmix,4,0.3259984237235393,73.9319897195535,228027.23129509093,NA,2.683561086654663,SCE3,eCDF-Copula
flexmix,5,0.26087698283812827,60.286651308488715,225125.02987803397,NA,4.6924309730529785,SCE3,eCDF-Copula
