cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.32902849982963855,164.02788710269903,22592.551531529985,NA,68.801842212677,SCE2,CC
GBMT,3,0.21499505863474735,119.97978921213252,21109.254878101903,NA,124.05360674858092,SCE2,CC
GBMT,4,0.2838226702596304,101.45196830778823,20334.479433306547,NA,137.677321434021,SCE2,CC
GBMT,5,0.26295485113419603,91.38381418893027,19898.88470745904,NA,199.0916109085083,SCE2,CC
KML3D,2,0.10437297402402566,204.02596199711624,NA,NA,0.27323007583618164,SCE2,CC
KML3D,3,0.10288556574920855,175.0957320789447,NA,NA,0.2350337505340576,SCE2,CC
KML3D,4,0.09805502299197696,133.60065038066148,NA,NA,0.29116368293762207,SCE2,CC
KML3D,5,0.08178427117333109,112.48334295456156,NA,NA,0.3434302806854248,SCE2,CC
flexmix,2,0.31759376690483626,165.30680180868038,24561.943160711024,NA,0.1736288070678711,SCE2,CC
flexmix,3,0.1813157260046792,136.8696888382876,22586.70128855977,NA,0.19846439361572263,SCE2,CC
flexmix,4,0.16041168808931355,117.64454350953892,21789.971661193955,NA,0.4455478191375733,SCE2,CC
flexmix,5,0.17911015372894495,94.5487670835306,21401.794251587777,NA,1.2449662685394287,SCE2,CC
LCMM,2,0.03160489665198789,187.34775543348223,26004.44307825691,NA,17.076440811157227,SCE2,CC
LCMM,3,0.03526849332043349,190.70971094257828,26016.426007348324,NA,33.278326749801636,SCE2,CC
LCMM,4,0.04114069861797979,194.9531477531842,26028.408936442684,NA,72.5694625377655,SCE2,CC
LCMM,5,0.04530673582090141,196.3367787653237,26040.391865536865,NA,877.3686158657074,SCE2,CC
GBMT,2,0.9899999378140742,78.95333509808977,246908.9196066408,NA,30.89136290550232,SCE3,CC
GBMT,3,0.7493147079032789,53.5565589573194,240123.73732880663,NA,107.73681473731996,SCE3,CC
GBMT,4,0.5316008251296693,41.711065836488984,234267.19241897351,NA,79.75531029701233,SCE3,CC
GBMT,5,0.628634098338723,33.21143455737644,233959.70236113883,NA,100.9959921836853,SCE3,CC
KML3D,2,0.3408575271667932,59.28482412957005,NA,NA,0.38571715354919434,SCE3,CC
KML3D,3,0.26450894686441034,57.23415011016624,NA,NA,0.5317866802215576,SCE3,CC
KML3D,4,0.5879468015217698,65.3503601990988,NA,NA,0.7039625644683838,SCE3,CC
KML3D,5,0.17534499289805103,51.97386476148545,NA,NA,0.8175370693206787,SCE3,CC
flexmix,2,0.5244381513789206,78.47984597076106,267376.1942682841,NA,0.4202163219451904,SCE3,CC
flexmix,3,0.4619460845264541,59.24849279539793,255536.05572839093,NA,0.8135805130004883,SCE3,CC
flexmix,4,0.4807871584377608,53.052579151580915,249838.48486696303,NA,1.640697717666626,SCE3,CC
flexmix,5,0.4069600934212358,55.90225134318526,246924.8948155604,NA,1.9266197681427,SCE3,CC
GBMT,2,0.382888153307916,172.04920461937684,23369.959716316313,NA,35.562031984329224,SCE2,MICE-L
GBMT,3,0.2356333851417292,128.96356328940203,21914.723211386,NA,107.03609132766724,SCE2,MICE-L
GBMT,4,0.2772700609367126,98.13755764559173,21318.46912780419,NA,162.97365021705627,SCE2,MICE-L
GBMT,5,0.1967476740231048,81.39482268864674,20885.98109934878,NA,327.7751977443695,SCE2,MICE-L
KML3D,2,0.1965454051379957,218.0802541028031,NA,NA,0.19391131401062012,SCE2,MICE-L
KML3D,3,0.21762724573240697,159.39505664570254,NA,NA,0.21772480010986328,SCE2,MICE-L
KML3D,4,0.19207802889382056,131.13834107157916,NA,NA,0.2878141403198242,SCE2,MICE-L
KML3D,5,0.18399305366264423,106.83124701079812,NA,NA,0.34004902839660645,SCE2,MICE-L
flexmix,2,0.37669129347029273,174.72889599884147,24871.881409649977,NA,0.17990756034851074,SCE2,MICE-L
flexmix,3,0.23879374270624865,136.84973658681554,22958.357096203123,NA,0.35534214973449707,SCE2,MICE-L
flexmix,4,0.1972332762159381,110.72341343377852,22260.25378890389,NA,0.4147770404815674,SCE2,MICE-L
flexmix,5,0.16059361825656152,94.98787297202549,21807.901838007267,NA,1.6472272872924805,SCE2,MICE-L
LCMM,2,0.02648626410680448,155.214768834876,25516.29473734035,NA,21.14037179946899,SCE2,MICE-L
LCMM,3,0.03160489665198789,160.7220013817653,25528.277666433507,NA,26.349511861801147,SCE2,MICE-L
LCMM,4,0.03526849332043349,164.92808081240514,25540.260595527736,NA,44.20313453674317,SCE2,MICE-L
LCMM,5,0.03341157586939222,163.3705029675779,25552.243524727004,NA,166.1669158935547,SCE2,MICE-L
GBMT,2,0.7826814448996836,119.38353301431728,238014.3427406539,NA,31.80284094810486,SCE3,MICE-L
GBMT,3,0.6524253725363494,81.0849288844955,232713.71944320737,NA,69.27942562103271,SCE3,MICE-L
GBMT,4,0.4370048343988729,64.82209436547161,226901.6345473552,NA,112.9051206111908,SCE3,MICE-L
GBMT,5,0.4383276275340773,36.37348633961543,228012.6450601559,NA,110.12281584739684,SCE3,MICE-L
KML3D,2,0.20110343269248873,101.1732897166644,NA,NA,0.757453203201294,SCE3,MICE-L
KML3D,3,0.1922681387133253,64.78034182195582,NA,NA,0.6029567718505859,SCE3,MICE-L
KML3D,4,0.2113550490052963,64.56918611998583,NA,NA,0.7269287109375,SCE3,MICE-L
KML3D,5,0.2740433919493987,60.571679040251986,NA,NA,0.80188751220703125,SCE3,MICE-L
flexmix,2,0.5464706095178369,114.58063421298566,246356.15362259504,NA,0.4859933853149414,SCE3,MICE-L
flexmix,3,0.38773284351244974,89.86313004212217,236531.26975577895,NA,0.9599628448486328,SCE3,MICE-L
flexmix,4,0.3614313008338939,76.80464490523343,231794.79377837433,NA,1.180121660232544,SCE3,MICE-L
flexmix,5,0.26729536980394436,67.18075361962272,228372.56324090995,NA,3.2400567531585693,SCE3,MICE-L
GBMT,2,0.5919033851088975,338.4761047789993,17340.15271978669,NA,39.291863679885864,SCE2,LME-F
GBMT,3,0.3604561302505802,265.31848469896937,13804.071223496956,NA,81.95773768424988,SCE2,LME-F
GBMT,4,0.3601295350620566,241.8823357996027,10389.393777284537,NA,151.15944123268127,SCE2,LME-F
GBMT,5,0.3033129277692347,300.89558542171807,8661.68674999571,NA,148.95722842216492,SCE2,LME-F
KML3D,2,0.28468433734939763,506.5142280140397,NA,NA,0.180403470993042,SCE2,LME-F
KML3D,3,0.27646306340821536,493.6626605010113,NA,NA,0.2440497875213623,SCE2,LME-F
KML3D,4,0.2058830517946168,489.6764143966545,NA,NA,0.2979543209075928,SCE2,LME-F
KML3D,5,0.2777864799506653,448.6455583431878,NA,NA,0.3521883487701416,SCE2,LME-F
flexmix,2,0.382875594450854,429.0975124118454,20075.42555418707,NA,0.2004406452178955,SCE2,LME-F
flexmix,3,0.3457886062889206,391.9924621104817,15109.30076677334,NA,0.374281644821167,SCE2,LME-F
flexmix,4,0.25069956096583745,403.9179998150533,12103.57582691166,NA,0.5401251316070557,SCE2,LME-F
flexmix,5,0.20623001033787824,383.18858468642657,10577.781730706618,NA,0.6107494831085205,SCE2,LME-F
LCMM,2,0.1586504669143489,444.2608961815313,14194.743490279532,NA,14.77224063873291,SCE2,LME-F
LCMM,3,0.1750279412074819,449.3080412506487,14206.726419373674,NA,26.17677521705627,SCE2,LME-F
LCMM,4,0.19663173997059183,464.17664776330713,14218.709348468466,NA,54.92551851272583,SCE2,LME-F
LCMM,5,0.33294391826340763,428.0562452411611,14171.448010420385,NA,155.5183067321777,SCE2,LME-F
GBMT,2,0.1499715201649042,120.87219248078496,286484.8805690185,NA,33.68173003196716,SCE3,LME-F
GBMT,3,0.2556492841427034,91.38164057165586,273287.1590488405,NA,101.22391939163208,SCE3,LME-F
GBMT,4,0.20451772248470207,73.16434241186582,272609.8321575415,NA,160.08890318870544,SCE3,LME-F
GBMT,5,0.1769959664370223,47.32435466281298,268140.0431456531,NA,206.57191014289856,SCE3,LME-F
