cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.6231740848943117,329.53472913746805,15585.600437146402,NA,28.805538177490234,SCE2,LME-F
GBMT,3,0.43845660156094557,305.20913895231166,11972.899730782185,NA,112.03064250946045,SCE2,LME-F
GBMT,4,0.4088689626745525,328.57536344428235,9284.186247090016,NA,96.68389248847961,SCE2,LME-F
GBMT,5,0.3290314427412917,361.2087818494443,7957.371849333916,NA,241.17947554588318,SCE2,LME-F
KML3D,2,0.2193943506070858,596.0791160243649,NA,NA,0.17743301391601562,SCE2,LME-F
KML3D,3,0.3497536611466352,652.0939859473193,NA,NA,0.21869635581970215,SCE2,LME-F
KML3D,4,0.2748101087379847,575.2487136889365,NA,NA,0.30458903312683105,SCE2,LME-F
KML3D,5,0.33138751858968046,533.2012371900474,NA,NA,0.33656930923461914,SCE2,LME-F
flexmix,2,0.5841943699926403,380.5421707377772,18855.167745569808,NA,0.21605587005615234,SCE2,LME-F
flexmix,3,0.40435794579915374,594.3453296038347,13670.592349016471,NA,0.14743709564208984,SCE2,LME-F
flexmix,4,0.26821845162436087,491.22852171540904,10919.125967029759,NA,0.3717200756072998,SCE2,LME-F
flexmix,5,0.26821845162436087,491.2285217154091,10919.12427405111,NA,0.8337690830230713,SCE2,LME-F
LCMM,2,0.5172210028701671,497.83169641559755,13620.293197487792,NA,15.89255428314209,SCE2,LME-F
LCMM,3,0.15468186575398846,527.8241907811434,13531.661522825223,NA,38.77849864959717,SCE2,LME-F
LCMM,4,0.1835185297228469,541.2228187246947,13543.644451919406,NA,80.28990077972412,SCE2,LME-F
LCMM,5,0.18783928895222174,545.4013336080575,13555.627381014656,NA,867.888622045517,SCE2,LME-F
