cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.3766715608604778,211.6592694673957,21130.661698362284,NA,48.927956104278564,SCE2,LME-S
GBMT,3,0.2618253310558377,206.4774074089092,19376.44799018299,NA,66.41817259788513,SCE2,LME-S
GBMT,4,0.3307124458768616,145.89785945502675,18300.358129860844,NA,99.30197739601135,SCE2,LME-S
GBMT,5,0.2691062837001532,122.89326832226055,17537.55105986989,NA,209.65880131721497,SCE2,LME-S
KML3D,2,0.196484879005869,294.6675762000965,NA,NA,0.15709996223449707,SCE2,LME-S
KML3D,3,0.30170039281797295,232.19177201388297,NA,NA,0.20500397682189941,SCE2,LME-S
KML3D,4,0.22826430094986,180.2646119538121,NA,NA,0.24945473670959473,SCE2,LME-S
KML3D,5,0.2727105607752946,146.4628924046091,NA,NA,0.28972554206848145,SCE2,LME-S
flexmix,2,0.43418190954773866,231.2831612919461,23468.74765062655,NA,0.16199493408203125,SCE2,LME-S
flexmix,3,0.267335623550764,205.28324035758297,20865.219131131536,NA,0.27750372886657715,SCE2,LME-S
flexmix,4,0.21678419570556476,158.9099640663914,19675.63577076184,NA,0.5349521636962891,SCE2,LME-S
flexmix,5,0.16730236624409772,139.098939835898,19271.546238625084,NA,1.2047984600067139,SCE2,LME-S
LCMM,2,0.0829278024542649,252.3787307023808,23688.49556834831,NA,16.21033263206482,SCE2,LME-S
LCMM,3,0.10115851744100694,263.67791876979004,23700.478497442004,NA,27.62937355041504,SCE2,LME-S
LCMM,4,0.12117162558242796,274.1449825640115,23712.461426537055,NA,51.20355701446533,SCE2,LME-S
LCMM,5,0.26712759511801554,223.41490030236034,23702.80887617336,NA,133.33894443511963,SCE2,LME-S
