cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.4210542316702663,198.15454906346636,21772.692936538282,NA,26.81632137298584,SCE2,MICE-CS
GBMT,3,0.30196786383365215,141.26980115724533,20274.22427564579,NA,78.94370484352112,SCE2,MICE-CS
GBMT,4,0.30587232566319944,115.49101236700736,19561.888629731377,NA,99.57028579711914,SCE2,MICE-CS
GBMT,5,0.2570176392622082,93.26898488369007,19103.081886244043,NA,418.32502841949463,SCE2,MICE-CS
KML3D,2,0.21937572839597322,256.4404895333889,NA,NA,0.14693808555603027,SCE2,MICE-CS
KML3D,3,0.2751549189707062,193.69858487174892,NA,NA,0.36107516288757324,SCE2,MICE-CS
KML3D,4,0.20757624469531516,147.64230299925447,NA,NA,0.23528432846069336,SCE2,MICE-CS
KML3D,5,0.19094467506534607,119.80671263681756,NA,NA,0.2652778625488281,SCE2,MICE-CS
flexmix,2,0.4081286285379619,207.5606858027764,24098.458445416443,NA,0.12571287155151367,SCE2,MICE-CS
flexmix,3,0.2502461062409525,166.73460421146382,22003.56593253848,NA,0.21988749504089355,SCE2,MICE-CS
flexmix,4,0.21290451801196025,135.5919588042785,21142.821910326962,NA,0.7387893199920654,SCE2,MICE-CS
flexmix,5,0.18303574798228525,106.0746105360101,20725.407603175183,NA,0.9812939167022705,SCE2,MICE-CS
LCMM,2,0.07449125178343471,221.9868515163502,24998.66637246418,NA,16.18886971473694,SCE2,MICE-CS
LCMM,3,0.10437297402402566,238.37003877199564,25010.649301516212,NA,32.952022552490234,SCE2,MICE-CS
LCMM,4,0.1211996397677165,244.75141834454047,25022.63223061045,NA,61.007203578948975,SCE2,MICE-CS
LCMM,5,0.21720547841941856,181.6354340138718,25017.444882597818,NA,185.20679807662964,SCE2,MICE-CS
