cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.9407515670838522,95.66713777469849,244425.48396673676,NA,26.705005407333374,SCE3,CC
GBMT,3,0.7214609880410369,75.14391231188208,237838.0009657373,NA,66.79815912246704,SCE3,CC
GBMT,4,0.6087095924664538,43.041442685191285,235202.86854091758,NA,70.56532502174377,SCE3,CC
GBMT,5,0.43027235047309387,40.14533397308013,229823.45936253597,NA,121.66357851028442,SCE3,CC
KML3D,2,0.2586881632462427,88.31149193278243,NA,NA,0.4539623260498047,SCE3,CC
KML3D,3,0.16731996736206092,58.54862445051764,NA,NA,0.5833921432495117,SCE3,CC
KML3D,4,0.41197975915696455,60.09597232286732,NA,NA,0.7221419811248779,SCE3,CC
KML3D,5,0.1657450956167296,58.201387907487664,NA,NA,0.7778811454772949,SCE3,CC
flexmix,2,0.7562894409151347,98.49559898547412,261057.79399354302,NA,0.379727840423584,SCE3,CC
flexmix,3,0.5466874474740953,64.43930654615392,249829.482573476,NA,1.302915096282959,SCE3,CC
flexmix,4,0.4418257380401292,53.584785970982246,244179.70166894415,NA,1.3912572860717773,SCE3,CC
flexmix,5,0.33244544975917945,42.79032206825306,244840.73572658832,NA,1.8422214984893799,SCE3,CC
