cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
GBMT,2,0.8645605867938224,118.5585297597361,232463.10927552622,NA,47.91565561294556,SCE3,MICE-L
GBMT,3,0.5858664692724845,93.68574769586628,223090.0541014335,NA,140.1760814189911,SCE3,MICE-L
GBMT,4,0.41423139105513523,62.52199128552535,220191.82325220085,NA,172.27094197273254,SCE3,MICE-L
GBMT,5,0.38508784270718216,51.52448719676873,217452.4989299123,NA,232.7318079471588,SCE3,MICE-L
KML3D,2,0.21949332744803984,101.12868705755388,NA,NA,0.5027520656585693,SCE3,MICE-L
KML3D,3,0.27080494131094207,79.04681317640681,NA,NA,0.6041560173034668,SCE3,MICE-L
KML3D,4,0.2986402633662877,69.68045562698107,NA,NA,0.7515215873718262,SCE3,MICE-L
KML3D,5,0.22368256380023102,62.62849760379398,NA,NA,0.8639862537384033,SCE3,MICE-L
flexmix,2,0.5918808272085981,135.97882075979584,243593.55057285252,NA,0.32104969024658203,SCE3,MICE-L
flexmix,3,0.40412230580928143,85.94685821391083,232031.4546006442,NA,1.3602235317230225,SCE3,MICE-L
flexmix,4,0.32825963537524633,71.60229378406098,227160.26309431443,NA,1.5574867725372314,SCE3,MICE-L
flexmix,5,0.28280996962615634,58.8788481906168,224194.7912685717,NA,3.7927701473236084,SCE3,MICE-L
