cluster_method,k,ARI,CHI,BIC,PED,Runtime_seconds,scenario,sim_method
mixAK,2,0.24858757062146897,192.69514043064163,NA,26889.515104091846,23.99351954460144,SCE2,CC
mixAK,3,0.20485084498900216,132.56675459627382,NA,26878.13650338666,31.66936182975769,SCE2,CC
mixAK,4,0.14942343017333387,104.8323104490628,NA,28421.73990608161,39.365339040756226,SCE2,CC
mixAK,5,0.10144435816259482,71.82083137091176,NA,28084.96593457902,47.14228320121765,SCE2,CC
mixAK,2,0.9310524107055198,84.6718263200612,NA,255825.20405485117,190.1779284477234,SCE3,CC
mixAK,3,0.7735577188644056,57.919955067642086,NA,318252.0692221207,265.4135217666626,SCE3,CC
mixAK,4,0.26292986043816446,33.12089003995734,NA,NA,340.8654079437256,SCE3,CC
mixAK,5,0.0865956950402318,34.57326059502412,NA,NA,416.696492433548,SCE3,CC
mixAK,2,0.39543388930147394,194.06792611045432,NA,27976.9226580766,23.03780436515808,SCE2,MICE-L
mixAK,3,0.2769073985381114,149.27711277090978,NA,27974.25755425363,30.213012218475345,SCE2,MICE-L
mixAK,4,0.28021713989998465,105.29518038708174,NA,28663.442589133316,38.468995809555054,SCE2,MICE-L
mixAK,5,0.20592892666256077,84.80495780097381,NA,27972.458564414912,46.10191607475281,SCE2,MICE-L
mixAK,2,0.7475943179075084,128.87823424834093,NA,NA,190.7316641807556,SCE3,MICE-L
mixAK,3,0.7608180082574217,71.18086874413676,NA,NA,265.7020049095154,SCE3,MICE-L
mixAK,4,0.299198849249221,56.74987897256938,NA,NA,338.62308144569397,SCE3,MICE-L
mixAK,5,0.3498605920732218,37.938551257241166,NA,NA,415.0243647098541,SCE3,MICE-L
mixAK,2,0.5100038473074344,397.4399090606009,NA,19686.055939231457,22.94619131088257,SCE2,LME-F
mixAK,3,0.312685797373935,573.8389981203829,NA,19625.234506282388,30.832346439361572,SCE2,LME-F
mixAK,4,0.31295502803979514,466.48041919620533,NA,19634.96418377296,38.2632110118866,SCE2,LME-F
mixAK,5,0.25452358468846503,466.0245130747928,NA,19635.98426481351,46.32748198509216,SCE2,LME-F
mixAK,2,0.421113137966371,158.58608424946118,NA,312332.0583283646,188.74277234077456,SCE3,LME-F
mixAK,3,0.3192608599139607,121.37357672457088,NA,275252.784062606,264.94657349586487,SCE3,LME-F
mixAK,4,0.3008044068774301,145.3556476040031,NA,NA,341.1962022781372,SCE3,LME-F
mixAK,5,0.21998339856045465,65.11667663682071,NA,NA,413.893052816391,SCE3,LME-F
mixAK,2,0.45431484276063566,249.15437387344488,NA,26182.33154168208,23.323853492736816,SCE2,LME-S
mixAK,3,0.349380605764727,171.75174758766127,NA,26152.80703868102,30.70788550376892,SCE2,LME-S
mixAK,4,0.2673681076882763,145.6190824518999,NA,27526.811293877818,38.59328532218933,SCE2,LME-S
mixAK,5,0.22157264079256064,120.97726933344546,NA,27029.94189623866,45.90299344062805,SCE2,LME-S
mixAK,2,0.6311010189996561,144.83382061280597,NA,NA,187.61811113357544,SCE3,LME-S
mixAK,3,0.4879838331169869,116.2295452740929,NA,NA,263.56066513061523,SCE3,LME-S
mixAK,4,0.5614836272655774,83.39170646030234,NA,NA,339.1510491371155,SCE3,LME-S
mixAK,5,0.4209462844395222,64.19689485521826,NA,NA,414.8634796142578,SCE3,LME-S
mixAK,2,0.3892559920498486,224.1801940104315,NA,26966.787564783976,22.5804500579834,SCE2,MICE-CS
mixAK,3,0.29777657470968033,151.52430222996483,NA,26967.295353927224,30.042619943618774,SCE2,MICE-CS
mixAK,4,0.268045605180565,106.45281892550332,NA,28230.77341364977,38.1322033405304,SCE2,MICE-CS
mixAK,5,0.18079904413017472,76.70293955953785,NA,28352.343189202365,45.19441080093384,SCE2,MICE-CS
mixAK,2,0.3707160484524235,226.7211861940389,NA,26805.862682629453,23.058794736862183,SCE2,eCDF-Copula
mixAK,3,0.30570987304093766,147.01762701089808,NA,26788.127526444703,30.798494577407837,SCE2,eCDF-Copula
mixAK,4,0.25726484403916833,130.43393820074917,NA,27861.02807707453,38.0847110748291,SCE2,eCDF-Copula
mixAK,5,0.2458209558530196,106.10200731053976,NA,28322.08177243618,45.825618505477905,SCE2,eCDF-Copula
mixAK,2,0.791578947368421,127.13654606372845,NA,427072.56183693453,188.03858828544617,SCE3,eCDF-Copula
mixAK,3,0.7741247824346663,73.64301829569817,NA,344292.38057200547,262.8690781593323,SCE3,eCDF-Copula
mixAK,4,0.29570219289886185,51.61147430365738,NA,NA,337.7294292449951,SCE3,eCDF-Copula
mixAK,5,0.503398236954293,65.92075983129948,NA,NA,464.73438572883606,SCE3,eCDF-Copula
