"cluster_method","k","ARI","CHI","BIC","PED","Runtime_seconds","scenario","sim_method","seed"
"GBMT",2,0.352451774282444,167.061782959842,22422.9387592331,NA,38.1283967494965,"SCE2","CC",1
"GBMT",3,0.240075390839153,123.602880923708,20809.9121935211,NA,79.5120253562927,"SCE2","CC",1
"GBMT",4,0.307836629923793,97.3495525502942,20068.9695856614,NA,108.324513435364,"SCE2","CC",1
"GBMT",5,0.260314132186733,97.8999638483197,19718.8038824667,NA,315.107751131058,"SCE2","CC",1
"KML3D",2,0.158576328017656,203.815727426469,NA,NA,0.31271767616272,"SCE2","CC",1
"KML3D",3,0.159946798337096,172.405165390244,NA,NA,0.246396064758301,"SCE2","CC",1
"KML3D",4,0.125391607194831,140.790517923909,NA,NA,0.352991342544556,"SCE2","CC",1
"KML3D",5,0.125127289273778,117.412523111205,NA,NA,0.370374441146851,"SCE2","CC",1
"flexmix",2,0.306333819250681,176.597298259178,24434.1634943441,NA,0.245273590087891,"SCE2","CC",1
"flexmix",3,0.198153010467724,138.479382748356,22394.7545891872,NA,0.369399785995483,"SCE2","CC",1
"flexmix",4,0.189165236872185,119.086543193519,21576.7832490511,NA,1.11766481399536,"SCE2","CC",1
"flexmix",5,0.155376002438453,99.1762280664806,21142.4119647286,NA,1.93802523612976,"SCE2","CC",1
"LCMM",2,0.0264862641068045,170.897238484596,25858.0086858518,NA,17.1529507637024,"SCE2","CC",1
"LCMM",3,0.0264862641068045,170.897238484596,25869.9916149461,NA,35.584077835083,"SCE2","CC",1
"LCMM",4,0.0298484532575417,175.768736139039,25881.9745440404,NA,120.18136715889,"SCE2","CC",1
"LCMM",5,0.0298484532575417,175.768736139039,25893.9574731346,NA,216.98601269722,"SCE2","CC",1
"GBMT",2,0.93105241070552,86.4131017323136,245783.898043409,NA,34.6753239631653,"SCE3","CC",1
"GBMT",3,0.743122773709901,70.5083453303896,239107.323109811,NA,97.6244840621948,"SCE3","CC",1
"GBMT",4,0.484290929422342,48.0278010366012,231664.652497611,NA,125.596965074539,"SCE3","CC",1
"GBMT",5,0.615002378786119,38.1384104624749,233242.039931826,NA,169.298887014389,"SCE3","CC",1
"KML3D",2,0.730363427409394,71.1378960772265,NA,NA,0.529838800430298,"SCE3","CC",1
"KML3D",3,0.548010179737762,64.8064039041617,NA,NA,0.660973310470581,"SCE3","CC",1
"KML3D",4,0.586568208421695,54.2751647748099,NA,NA,0.750108003616333,"SCE3","CC",1
"KML3D",5,0.382378148979191,52.1591467646475,NA,NA,0.859527826309204,"SCE3","CC",1
"flexmix",2,0.591897233201581,73.9221159308201,265159.805612471,NA,0.50439715385437,"SCE3","CC",1
"flexmix",3,0.439805544052744,62.9814338873946,254267.996975751,NA,1.07905769348145,"SCE3","CC",1
"flexmix",4,0.464413698937709,60.1640318463264,247380.957244884,NA,1.96448850631714,"SCE3","CC",1
"flexmix",5,0.401651588792713,49.8908277029209,245137.730536328,NA,1.76088070869446,"SCE3","CC",1
"GBMT",2,0.408126100484816,192.602794374764,22434.8465621597,NA,31.1600849628448,"SCE2","MICE-L",1
"GBMT",3,0.289543921093712,137.067593907559,21008.7842753123,NA,101.597942352295,"SCE2","MICE-L",1
"GBMT",4,0.206574173533827,116.869993685148,20300.9143183908,NA,266.263364076614,"SCE2","MICE-L",1
"GBMT",5,0.21090324019715,100.925646159365,19862.5964649101,NA,193.287649154663,"SCE2","MICE-L",1
"KML3D",2,0.196484879005869,226.207708469892,NA,NA,0.224680662155151,"SCE2","MICE-L",1
"KML3D",3,0.285465017594877,177.738569774825,NA,NA,0.225483417510986,"SCE2","MICE-L",1
"KML3D",4,0.238729806823992,137.099790771845,NA,NA,0.277686834335327,"SCE2","MICE-L",1
"KML3D",5,0.247710729686915,113.831194572582,NA,NA,0.321816682815552,"SCE2","MICE-L",1
"flexmix",2,0.42106659571405,200.015568367906,24086.9204575293,NA,0.188872814178467,"SCE2","MICE-L",1
"flexmix",3,0.262468178284087,144.165744995588,22233.792451623,NA,0.369651556015015,"SCE2","MICE-L",1
"flexmix",4,0.203443972639135,123.750509247735,21257.7109926343,NA,1.32922315597534,"SCE2","MICE-L",1
"flexmix",5,0.19392306747317,103.696505731053,20902.0947259485,NA,1.5634708404541,"SCE2","MICE-L",1
"LCMM",2,0.0431985923580637,178.879199136151,25199.0188436255,NA,16.4605331420898,"SCE2","MICE-L",1
"LCMM",3,0.0519326862069043,186.939726839144,25211.0017727186,NA,36.5219750404358,"SCE2","MICE-L",1
"LCMM",4,0.0665416125953336,198.218577845106,25222.984701813,NA,60.6702501773834,"SCE2","MICE-L",1
"LCMM",5,0.071813393574282,201.864879690525,25234.9676309067,NA,323.048379898071,"SCE2","MICE-L",1
"GBMT",2,0.696467480967068,137.053604685999,235066.663687356,NA,31.6135785579681,"SCE3","MICE-L",1
"GBMT",3,0.491354313339364,101.484618397953,224437.968395671,NA,114.162915468216,"SCE3","MICE-L",1
"GBMT",4,0.437913821294846,57.5463212713391,223073.047991181,NA,122.844105482101,"SCE3","MICE-L",1
"GBMT",5,0.311056286416371,46.7150946076284,215843.931470232,NA,151.281201124191,"SCE3","MICE-L",1
"KML3D",2,0.228731624725063,106.971324842886,NA,NA,0.422476291656494,"SCE3","MICE-L",1
"KML3D",3,0.234066533028665,79.7727331947374,NA,NA,0.537743806838989,"SCE3","MICE-L",1
"KML3D",4,0.258135484370242,69.3542479332343,NA,NA,0.634576797485352,"SCE3","MICE-L",1
"KML3D",5,0.238007104875452,65.2014369410568,NA,NA,0.808084487915039,"SCE3","MICE-L",1
"flexmix",2,0.55390767288368,141.522031007746,242603.234672854,NA,0.40360689163208,"SCE3","MICE-L",1
"flexmix",3,0.416665676583901,103.925461543665,233997.786326021,NA,0.575029611587524,"SCE3","MICE-L",1
"flexmix",4,0.280245085476469,80.6261779445106,228130.017110801,NA,1.33445572853088,"SCE3","MICE-L",1
"flexmix",5,0.24428224762523,69.7327772382328,226730.162062326,NA,2.50699806213379,"SCE3","MICE-L",1
"GBMT",2,0.434238769972867,299.462237575784,16295.2309470155,NA,45.3392927646637,"SCE2","LME-F",1
"GBMT",3,0.316142241037893,339.73491158422,12561.8608680404,NA,105.798804283142,"SCE2","LME-F",1
"GBMT",4,0.29374242715035,351.598086324193,9955.85360612602,NA,158.566684484482,"SCE2","LME-F",1
"GBMT",5,0.304494005943513,293.784987721212,8564.72897908116,NA,114.274102926254,"SCE2","LME-F",1
"KML3D",2,0.300950527937112,564.725281690562,NA,NA,0.172049522399902,"SCE2","LME-F",1
"KML3D",3,0.322322469110578,531.626964871589,NA,NA,0.211347818374634,"SCE2","LME-F",1
"KML3D",4,0.272371076012932,502.776649726303,NA,NA,0.2547767162323,"SCE2","LME-F",1
"KML3D",5,0.224607246253875,483.469085813614,NA,NA,0.326754570007324,"SCE2","LME-F",1
"flexmix",2,0.510003847307434,456.555038543226,19291.4642361559,NA,0.136669158935547,"SCE2","LME-F",1
"flexmix",3,0.273529970328872,382.972771948752,14295.6570106309,NA,0.433897256851196,"SCE2","LME-F",1
"flexmix",4,0.28394977651769,434.688564376263,11207.6465282679,NA,0.371392250061035,"SCE2","LME-F",1
"flexmix",5,0.28394977651769,434.688564376263,11207.6470405337,NA,0.330433368682861,"SCE2","LME-F",1
"LCMM",2,0.121228093292924,424.682324436134,13274.0786262073,NA,14.1662411689758,"SCE2","LME-F",1
"LCMM",3,0.179248080661636,468.248672875154,13286.0615553074,NA,52.1513090133667,"SCE2","LME-F",1
"LCMM",4,0.196631739970592,480.075307295137,13298.0444845844,NA,69.17813372612,"SCE2","LME-F",1
"LCMM",5,0.192210358873009,476.027649325329,13310.0274134909,NA,370.799931764603,"SCE2","LME-F",1
