"scenario","sim_method","cluster_method","best_k","CHI_mean_at_best_k"
"SCE2","CC","GBMT",2,179.712940164206
"SCE2","CC","KML3D",2,232.799362351776
"SCE2","CC","LCMM",3,215.874260100379
"SCE2","CC","flexmix",2,189.428636562812
"SCE2","CC","mixAK",2,200.833925619712
"SCE2","LME-F","GBMT",3,378.288573441745
"SCE2","LME-F","KML3D",2,603.921119621128
"SCE2","LME-F","LCMM",4,554.964681171413
"SCE2","LME-F","flexmix",3,468.337286290207
"SCE2","LME-F","mixAK",2,417.576085664141
"SCE2","LME-S","GBMT",2,232.292674023068
"SCE2","LME-S","KML3D",2,302.569727321307
"SCE2","LME-S","LCMM",4,263.33294720094
"SCE2","LME-S","flexmix",2,243.15187315497
"SCE2","LME-S","mixAK",2,262.931531238008
"SCE2","MICE-CS","GBMT",2,205.596941998596
"SCE2","MICE-CS","KML3D",2,269.655945759612
"SCE2","MICE-CS","LCMM",4,249.917710421189
"SCE2","MICE-CS","flexmix",2,220.119629405091
"SCE2","MICE-CS","mixAK",2,237.513655747193
"SCE2","MICE-L","GBMT",2,189.60568652422
"SCE2","MICE-L","KML3D",2,238.43785587822
"SCE2","MICE-L","LCMM",4,218.487156158974
"SCE2","MICE-L","flexmix",2,197.873010130588
"SCE2","MICE-L","mixAK",2,215.965678302723
"SCE2","eCDF-Copula","GBMT",2,213.971790186711
"SCE2","eCDF-Copula","KML3D",2,276.962427802996
"SCE2","eCDF-Copula","LCMM",4,254.828325022672
"SCE2","eCDF-Copula","flexmix",2,221.504746497999
"SCE2","eCDF-Copula","mixAK",2,240.546669450821
"SCE3","CC","GBMT",2,89.3897806607988
"SCE3","CC","KML3D",2,81.460380580532
"SCE3","CC","flexmix",2,83.5289512702906
"SCE3","CC","mixAK",2,92.5355062362704
"SCE3","LME-F","GBMT",2,149.555941232423
"SCE3","LME-F","KML3D",2,106.259198691053
"SCE3","LME-F","flexmix",2,140.752670314193
"SCE3","LME-F","mixAK",2,148.040488022431
"SCE3","LME-S","GBMT",2,142.730685999471
"SCE3","LME-S","KML3D",2,106.90682422441
"SCE3","LME-S","flexmix",2,138.624398583767
"SCE3","LME-S","mixAK",2,149.607511782643
"SCE3","MICE-CS","GBMT",2,127.879882496284
"SCE3","MICE-CS","KML3D",2,107.831946662747
"SCE3","MICE-CS","flexmix",2,125.686471654509
"SCE3","MICE-CS","mixAK",2,128.731625333784
"SCE3","MICE-L","GBMT",2,132.948119318779
"SCE3","MICE-L","KML3D",2,99.0126291321315
"SCE3","MICE-L","flexmix",2,132.560548822094
"SCE3","MICE-L","mixAK",2,139.767203486926
"SCE3","eCDF-Copula","GBMT",2,128.81671367564
"SCE3","eCDF-Copula","KML3D",2,94.0791137610396
"SCE3","eCDF-Copula","flexmix",2,126.8376213596
"SCE3","eCDF-Copula","mixAK",2,131.00415402497
