"scenario","sim_method","cluster_method","k","n_seeds","ARI_mean","ARI_sd","ARI_se","CHI_mean","CHI_sd","CHI_se","BIC_mean","BIC_sd","PED_mean","PED_sd","Runtime_mean"
"SCE2","CC","GBMT",2,10,0.41324179671979,0.0895359928655085,0.0283137670019593,179.712940164206,20.7891478939038,6.57410579588286,21990.6143963132,620.645062198063,NA,NA,41.9612704515457
"SCE2","CC","GBMT",3,10,0.258314874780081,0.0479393106873448,0.0151597411230462,133.401175254755,16.9381907047186,5.35632620692032,20407.3964626798,664.625475032045,NA,NA,121.850736308098
"SCE2","CC","GBMT",4,10,0.318305453669195,0.0199157824544318,0.00629792339404232,109.335179935845,16.3582951122015,5.17294711917563,19662.9603014526,659.185767603558,NA,NA,184.179987859726
"SCE2","CC","GBMT",5,10,0.261185336585187,0.0192539221856801,0.00608862479983966,96.109559324152,8.89659291626505,2.81334970307172,19218.7232808391,679.099368020175,NA,NA,276.652217531204
"SCE2","CC","KML3D",2,10,0.158349956122143,0.0368133222365814,0.0116413946505321,232.799362351776,28.9828133700478,9.16517032489315,NA,NA,NA,NA,0.283954310417175
"SCE2","CC","KML3D",3,10,0.146578497002368,0.041194779677237,0.0130269331488885,181.843343478271,17.9608987697961,5.6797348936272,NA,NA,NA,NA,0.24625551700592
"SCE2","CC","KML3D",4,10,0.124500120559586,0.0224594070174806,0.00710228810720079,144.079000762595,14.8366883110141,4.69177279968011,NA,NA,NA,NA,0.302192854881287
"SCE2","CC","KML3D",5,10,0.115098340519397,0.0229839393366297,0.00726815979068892,119.980528110992,12.3782054492639,3.91433225651817,NA,NA,NA,NA,0.373782157897949
"SCE2","CC","LCMM",2,10,0.0928204179815745,0.0935779854175551,0.0295919572769497,208.426528435316,32.9203843981639,10.4103396146469,25823.7494075012,419.493457082149,NA,NA,18.1995602607727
"SCE2","CC","LCMM",3,10,0.0785858799265669,0.0320439108531504,0.0101331743435345,215.874260100379,32.742475963544,10.3540800278115,25825.8421594246,426.322932282104,NA,NA,35.3640019893646
"SCE2","CC","LCMM",4,10,0.0980197835859731,0.0439133836592455,0.0138866312128035,214.989121593789,37.0652195899969,11.7210515878683,25833.451299848,424.738718496346,NA,NA,98.2821381807327
"SCE2","CC","LCMM",5,10,0.119014481789749,0.0702623267257504,0.0222188986156292,190.899119871055,20.4804597348633,6.47649002895361,25839.1866569565,434.434019231284,NA,NA,355.087363862991
"SCE2","CC","flexmix",2,10,0.345848621163176,0.0596310244323841,0.0188569856415483,189.428636562812,21.0361829822826,6.65222515000866,24002.7342576485,577.1078194618,NA,NA,0.218108487129211
"SCE2","CC","flexmix",3,10,0.217053345600286,0.0269597080649104,0.00852540825383273,149.550939004021,19.7149729133008,6.2344218414556,21977.1229040065,621.099278230624,NA,NA,0.416845297813416
"SCE2","CC","flexmix",4,10,0.189772541777291,0.0291220341195745,0.00920919579149916,121.913405242113,12.2818665964053,3.88386723629806,21175.1645523257,641.1987860641,NA,NA,0.714857792854309
"SCE2","CC","flexmix",5,10,0.19385075177148,0.0338253805457245,0.0106965245246439,106.510163576523,15.8836085981065,5.02283806326505,20880.7991356915,570.093264640494,NA,NA,1.31697714328766
"SCE2","CC","mixAK",2,10,0.285162662904841,0.0620012475972369,0.0196065160179311,200.833925619712,27.3529336383748,8.64975709847007,NA,NA,26650.3075991354,412.241212745669,26.2876674175262
"SCE2","CC","mixAK",3,10,0.229481090095146,0.0492308336635051,0.0155681565485568,138.525683673174,22.6372147190962,7.15851583946327,NA,NA,27193.955952639,1128.63608418454,34.5299153804779
"SCE2","CC","mixAK",4,10,0.180012439594251,0.0377611229309385,0.0119411155467379,109.479888241365,18.1303218731516,5.73331118311295,NA,NA,27845.6145240944,652.444088507784,43.1033355236053
"SCE2","CC","mixAK",5,10,0.139050531453115,0.0224384289308482,0.0070956542537297,94.431786634801,15.1510754496921,4.79119074220868,NA,NA,27537.1101390981,443.580303057268,51.6122889757156
"SCE2","LME-F","GBMT",2,10,0.605807594452989,0.0884942592803558,0.0279843419175418,323.35581675089,58.1645605855531,18.3932490553205,16059.4759605205,788.837660620163,NA,NA,63.572453045845
"SCE2","LME-F","GBMT",3,10,0.394966497011801,0.0734521975815662,0.0232276243502461,378.288573441745,65.1047421744411,20.5879271749257,12332.8621541989,961.968353422051,NA,NA,93.9844898462296
"SCE2","LME-F","GBMT",4,10,0.356861143208142,0.0464500940955577,0.0146888094871101,303.806041145752,44.4876131979878,14.0682185370209,9798.73574666644,532.241982236246,NA,NA,158.36112382412
"SCE2","LME-F","GBMT",5,10,0.319413449844648,0.018149094137616,0.00573924749436761,339.51980150763,59.653776079445,18.8641803440716,7875.01550534663,846.045889797844,NA,NA,181.069504261017
"SCE2","LME-F","KML3D",2,10,0.294815687755976,0.0730492330460934,0.0231001957754095,603.921119621128,72.3484702897357,22.8785951344587,NA,NA,NA,NA,0.18747775554657
"SCE2","LME-F","KML3D",3,10,0.283891145916102,0.0430670319159985,0.0136189912917721,569.754978331041,60.5413949152913,19.1448700656057,NA,NA,NA,NA,0.231315779685974
"SCE2","LME-F","KML3D",4,10,0.246392108508438,0.0281170120440793,0.00889137990576773,545.763154783822,58.3340563657507,18.4468483272416,NA,NA,NA,NA,0.293072748184204
"SCE2","LME-F","KML3D",5,10,0.262108930471607,0.0457965828500022,0.0144821510858612,504.536982686491,55.2336735803136,17.4664212052058,NA,NA,NA,NA,0.374051403999329
"SCE2","LME-F","LCMM",2,10,0.219316840021565,0.160339268913668,0.0507037288133423,503.128888670536,85.2744346682246,26.9661439734815,13294.173367612,643.520928395621,NA,NA,17.094705581665
"SCE2","LME-F","LCMM",3,10,0.211018288588487,0.0723643085950621,0.0228836036463696,540.955542788081,85.4299658780311,27.0153272605045,13275.4961388836,643.167809591615,NA,NA,41.2777499914169
"SCE2","LME-F","LCMM",4,10,0.239388655321866,0.0813327441422693,0.0257196719841289,554.964681171413,84.928899728308,26.8568762313509,13287.4790681178,643.167809624565,NA,NA,111.992023825645
"SCE2","LME-F","LCMM",5,10,0.335542142395577,0.0889451674684141,0.0281269316065301,494.981778030791,67.7335774508139,21.4192378815994,13254.0331184962,641.318207782601,NA,NA,253.740093660355
"SCE2","LME-F","flexmix",2,10,0.46522767502352,0.0767085721804475,0.0242573804149643,455.024067930745,77.5939547990889,24.5373629825274,19261.1921856777,685.877891093884,NA,NA,0.257190847396851
"SCE2","LME-F","flexmix",3,10,0.330544070904787,0.0422046736692317,0.0133462896698908,468.337286290207,67.830406369632,21.449857874283,13975.1091431704,843.869288653073,NA,NA,0.327253937721252
"SCE2","LME-F","flexmix",4,10,0.280673125870287,0.0244096154973782,0.00771899817806591,455.370419401541,48.9145698437857,15.4681451473749,11144.5656006127,871.610218332287,NA,NA,0.53965048789978
"SCE2","LME-F","flexmix",5,10,0.263431318898252,0.041177211600434,0.0130213776352079,427.519075677081,37.5945029590682,11.8884256852595,9980.56401166193,1353.59932171369,NA,NA,0.643272137641907
"SCE2","LME-F","mixAK",2,10,0.427221507247939,0.0955171003888637,0.0302051592723764,417.576085664141,56.8026059484339,17.962561183008,NA,NA,19809.0624074313,429.057450066322,23.5307550191879
"SCE2","LME-F","mixAK",3,10,0.277729572421504,0.0590091440861441,0.018660329808927,390.774346224697,82.8346400646972,26.1946131764681,NA,NA,19768.6217013079,453.087050035884,30.9846456289291
"SCE2","LME-F","mixAK",4,10,0.292837987457832,0.0691357553895963,0.0218626454787386,349.029574964729,69.9038153763961,22.1055273725312,NA,NA,19725.7409904808,432.601954066177,38.8349555969238
"SCE2","LME-F","mixAK",5,10,0.291090844181736,0.0684418225624713,0.0216432046510511,316.571827017226,106.70504609591,33.7430983496333,NA,NA,20769.5016725399,1929.18473539507,46.8324948787689
